Recipient_Name,Total_Obligation
"Lockheed Martin Corporation",73658276028.26
"Ut-battelle Llc",34450994080.50
"Battelle Memorial Institute",26555847096.74
"Lawrence Livermore National Security, Llc",25329047454.40
"Northrop Grumman Systems Corporation",22323510230.83
"The Boeing Company",20187783360.40
"Huntington Ingalls Inc",18599204441.35
"National Technology & Engineering Solutions Of Sandia, Llc",18337342880.52
"Raytheon Company",17213814389.10
"Battelle Energy Alliance, Llc",16762792625.30
"Lockheed Martin Corp",16629325660.52
"The Regents Of The University Of California",16074946169.93
