Agency_Name,Outlayed_Amount
"Department of State",6136800.52
"Department of State",29190099.15
"Department of State",85518.72
"Department of State",23416667.80
"Department of State",98220.80
"Department of State",61030.40
"Department of State",16550073.25
"Department of State",22729384.21
"Department of State",48867811.37
"Department of State",11423669.68
"Department of State",5417085.59
"Department of State",7629219.91
"Department of State",1047691.71
"Department of State",25984367.75
"Department of State",21096206.76
"Department of State",2759268.96
"Department of State",6884156.27
"Department of State",5845395.96
"Department of State",26367672.48
"Department of State",232131250.50
"Department of State",3733180.97
"Department of State",126380570.52
"Department of State",46572154.18
"Department of State",26095068.28
"Department of State",15034629.09
"Department of State",4503578.97
"Department of State",591933.98
"Department of State",19444600.15
"Department of State",18404024.51
"Department of State",206371097.17
"Department of State",27110.42
"Department of State",184864.21
"Department of State",117095.95
"Department of State",8776775.26
"Department of State",35271720.15
"Department of State",16287679.23
"Department of State",20679664.44
"Department of State",551455.79
"Department of State",1238846.65
"Department of State",5430512.77
"Department of State",968060.11
"Department of State",40915902.83
"Department of State",63006.70
"Department of State",1164386.92
"Department of State",338686.71
"Department of State",80047991.58
"Department of State",715075.00
"Department of State",500067469.94
"Department of State",1486705.68
"Department of State",54873648.25
"Department of State",2321927.20
"Department of State",4598.13
"Department of State",8143329.26
"Department of State",96875.21
"Department of State",971736.40
"Department of State",1478373.01
"Department of State",8475617.47
"Department of State",5928413.27
"Department of State",10493.00
"Department of State",135542.11
"Department of State",32065.22
"Department of State",270819.66
"Department of State",488285.00
"Department of State",485497.12
"Department of State",48498.45
"Department of State",148654.98
"Department of State",70122.72
"Department of State",1712422.74
"Department of State",401902.25
"Department of State",547812.18
"Department of State",549110.53
"Department of State",491310.70
"Department of State",11220849.41
"Department of State",262245.62
"Department of State",28575.60
"Department of State",28299.08
"Department of State",188433.73
"Department of State",109204.66
"Department of State",217873.95
"Department of State",227990.00
"Department of State",175666.02
"Department of State",575505.65
"Department of State",669675.03
"Department of State",382461.42
"Department of State",1126826.40
"Department of State",29378724.18
"Department of State",228299.08
"Department of State",686155.17
"Department of State",824750.11
"Department of State",103550.21
"Department of State",55847.98
"Department of State",577330.58
"Department of State",206996.56
"Department of State",552588.49
"Department of State",1042155.59
"Department of State",2915373.33
"Department of State",309570.01
"Department of State",337812.16
"Department of State",4126027.26
"Department of State",8121.60
"Department of State",65976.21
"Department of State",4473573.60
"Department of State",3141879.53
"Department of State",4294372.26
"Department of State",7150379.23
"Department of State",82663.63
"Department of State",12319.84
"Department of State",228840.87
"Department of State",16492574.28
"Department of State",30889944.79
"Department of State",6993858.86
"Department of State",6674005.97
"Department of State",325406.47
"Department of State",1440917.16
"Department of State",347273.96
"Department of State",1784448.13
"Corps of Engineers - Civil Works",142792.73
"Corps of Engineers - Civil Works",1788382.18
"Corps of Engineers - Civil Works",1902396.79
"Corps of Engineers - Civil Works",1344.00
"Corps of Engineers - Civil Works",2679429.17
"Corps of Engineers - Civil Works",1403900.97
"Corps of Engineers - Civil Works",1914572.93
"Corps of Engineers - Civil Works",524960.90
"Corps of Engineers - Civil Works",232762.76
"Corps of Engineers - Civil Works",126863.86
"Corps of Engineers - Civil Works",34205.00
"Corps of Engineers - Civil Works",114568.86
"Corps of Engineers - Civil Works",45159.00
"Corps of Engineers - Civil Works",1239195.88
"Corps of Engineers - Civil Works",959889.60
"Corps of Engineers - Civil Works",1746620.54
"Corps of Engineers - Civil Works",307560.94
"Corps of Engineers - Civil Works",31230.00
"Corps of Engineers - Civil Works",113341.46
"Corps of Engineers - Civil Works",1397406.72
"Corps of Engineers - Civil Works",70511.04
